title,clarity,relevance,rigor,final_score
"[Demonstration of tumor inhibiting properties of a strongly immunostimulating low-molecular weight substance. Comparative studies with ifosfamide on the immuno-labile DS carcinosarcoma. Stimulation of the autoimmune activity for approx. 20 days by BA 1, a N-(2-cyanoethylene)-urea. Novel prophylactic possibilities].",4.0,5.0,3.0,4.0
The effect of o-salicylate upon pentose phosphate pathway activity in normal and G6PD-deficient red cells.,4.0,4.0,4.0,4.0
Purification and properties of Escherichia coli dihydrofolate reductase.,4.5,5.0,4.5,4.666666666666667
Bile acids. XLVII. 12alpha-Hydroxylation of precursors of allo bile acids by rabbit liver microsomes.,4.0,4.5,4.0,4.166666666666667
Myosin from arterial smooth muscle: isolation following actin depolymerization.,4.0,4.0,4.5,4.166666666666667
Polymer concentration dependence of the helix to random coil transition of a charged polypeptide in aqueous salt solution.,3.0,5.0,,4.0
"Inhibitory postsynaptic actions of taurine, GABA and other amino acids on motoneurons of the isolated frog spinal cord.",4.5,5.0,5.0,4.833333333333333
Effects of zinc-smelter emissions on forest soil microflora.,4.0,4.0,4.0,4.0
Effects of decreasing arterial blood pressure on cerebral blood flow in the baboon. Influence of the sympathetic nervous system.,4.0,4.0,4.0,4.0
Serum lactate dehydrogenase activity ratios with different substrates.,4.0,4.0,4.0,4.0
Arterial catecholamines in hypoxic exercise in man.,4.0,5.0,4.0,4.333333333333333
An evaluation of factors affecting the in vitro bioassay for erythropoietin.,4.0,4.0,4.5,4.166666666666667
[Synthesis of N-substituted isoindolines].,3.0,5.0,4.0,4.0
Gluconic acid production by Penicillium puberulum.,4.5,5.0,4.5,4.666666666666667
Phenomenon of hot-cold hemolysis: chelator-induced lysis of sphingomyelinase-treated erythrocytes.,4.5,5.0,5.0,4.833333333333333
Degradation of myxovirus virion RNA by periodate.,3.0,4.0,4.0,3.6666666666666665
Phospholipase D activity of gram-negative bacteria.,4.0,4.0,4.0,4.0
Expression of the hut operons of Salmonella typhimurium in Klebsiella aerogenes and in Escherichia coli.,4.0,5.0,4.0,4.333333333333333
Transport of molybdate by Clostridium pasteurianum.,4.0,4.5,4.5,4.333333333333333
D-Lactate dehydrogenase of Peptostreptococcus elsdenii.,5.0,4.0,4.0,4.333333333333333
Studies on trypsin inhibitor in barley. I. Purification and some properties.,4.0,5.0,4.5,4.5
Structural studies of two ovalbumin glycopeptides in relation to the endo-beta-N-acetylglucosaminidase specificity.,2.0,4.0,5.0,3.6666666666666665
"Trypsin-sensitive photosynthetic activities in chloroplast membranes from Chlamydomonas reinhardi, y-1.",4.0,5.0,4.0,4.333333333333333
Methods to improve detection of pneumococci in respiratory secretions.,4.0,4.5,,4.25
"On the interactions between pancreatic lipase and colipase and the substrate, and the importance of bile salts.",4.0,5.0,4.0,4.333333333333333
An electrophysiological analysis of chemoreception in the sea anemone Tealia felina.,3.5,4.0,4.0,3.8333333333333335
Binding of bile acids to cholestyramine at gastric pH conditions.,4.0,4.0,4.0,4.0
The formation of synapses in amphibian striated muscle during development.,4.0,5.0,5.0,4.666666666666667
The avian erythrocyte: a study of fixation for electron microscopy.,4.0,4.5,,4.25
Lipoxygenase isozymes of peanut.,4.0,4.0,4.0,4.0
The regulation of striatal tyrosine hydroxylase. Effects of gamma hydroxybutric acid and healperidol.,4.0,4.0,4.0,4.0
The influence of cortisol on the enzymes of fatty acid synthesis in developing mammalian lung and brain.,4.0,4.0,4.0,4.0
Intranasal betamethasone valerate in seasonal rhinitis.,4.0,5.0,4.0,4.333333333333333
Light-dependent absorption and selective scattering changes at 518 nm in chloroplast thylakoid membranes.,4.0,5.0,5.0,4.666666666666667
Mechanism of action of penicillin: triggering of the pneumococcal autolytic enzyme by inhibitors of cell wall synthesis.,4.0,5.0,5.0,4.666666666666667
Evaluation of combined pharmacological and psychotherapeutic treatment in patients with functional abdominal disorders.,3.0,4.0,4.0,3.6666666666666665
Alterations in norepinephrine pattern in the damaged myocardium in the rat.,4.0,4.0,4.0,4.0
[Biosynthesis of flavins and its regulation in the yeast Pichia guilliermondii].,4.5,5.0,4.5,4.666666666666667
"[Catecholamines, cholinergic and serotoninergic complexes as criteria of prognosis in acute cranio-cerebral trauma].",3.0,4.0,4.0,3.6666666666666665
[Sympathico-adrenal system activity in a primary immune response].,3.0,4.0,4.0,3.6666666666666665
Further characterization of the association of glyceraldehyde-3-phosphate dehydrogenase with reticulocyte membranes.,4.0,4.0,4.0,4.0
[Effect of the vagus nerve on isolated rabbit atria in ganglionic blockade due to hexamethonium].,3.0,5.0,4.0,4.0
Comparative study of virological infections in asthmatic and nonasthmatic children.,3.0,5.0,4.0,4.0
[Tumour hyperacidulation through intravenous glucose infusion enhanced by amygdalin and beta-glucosidase application (author's transl)].,3.0,4.0,4.5,3.8333333333333335
Metachromatic leukodystrophy. Ultrastructural and enzymatic study of a case of variant O form.,4.0,4.5,4.0,4.166666666666667
Plastid development in primary leaves of Phaseolus vulgaris. Development of plastid adenosine triphosphatase activity during greening.,4.0,5.0,4.0,4.333333333333333
Determination of polyadenylate-rich ribonucleic acid in the nucleus and in the cytoplasm of plasmacytoma cells.,4.0,5.0,4.0,4.333333333333333
Properties of 5-aminolaevulinate synthetase and its relationship to microsomal mixed-function oxidation in the southern armyworm (Spodoptera eridania).,3.5,5.0,5.0,4.5
The distribution and elimination of radioactivity in the rat after administration of 14C-4-acetamidophenyl-2-acetoxybenzoate (benorylate).,4.0,5.0,4.0,4.333333333333333
Lysosomal hydrolases of the epidermis. 3. Peptide hydrolases.,4.0,4.0,4.0,4.0
