,run,seed,title,clarity,relevance,rigor,final_score
0,1,100,"[Demonstration of tumor inhibiting properties of a strongly immunostimulating low-molecular weight substance. Comparative studies with ifosfamide on the immuno-labile DS carcinosarcoma. Stimulation of the autoimmune activity for approx. 20 days by BA 1, a N-(2-cyanoethylene)-urea. Novel prophylactic possibilities].",4.0,5.0,4.0,4.333333333333333
1,1,100,The effect of o-salicylate upon pentose phosphate pathway activity in normal and G6PD-deficient red cells.,4.5,4.0,4.0,4.166666666666667
2,1,100,Purification and properties of Escherichia coli dihydrofolate reductase.,4.0,5.0,4.0,4.333333333333333
3,1,100,Bile acids. XLVII. 12alpha-Hydroxylation of precursors of allo bile acids by rabbit liver microsomes.,,4.5,,4.5
4,1,100,Myosin from arterial smooth muscle: isolation following actin depolymerization.,4.0,4.5,4.0,4.166666666666667
5,1,100,Polymer concentration dependence of the helix to random coil transition of a charged polypeptide in aqueous salt solution.,3.0,4.0,4.0,3.6666666666666665
6,1,100,"Inhibitory postsynaptic actions of taurine, GABA and other amino acids on motoneurons of the isolated frog spinal cord.",4.0,5.0,4.5,4.5
7,1,100,Effects of zinc-smelter emissions on forest soil microflora.,4.0,4.5,4.5,4.333333333333333
8,1,100,Effects of decreasing arterial blood pressure on cerebral blood flow in the baboon. Influence of the sympathetic nervous system.,4.0,4.0,4.0,4.0
9,1,100,Serum lactate dehydrogenase activity ratios with different substrates.,3.0,4.0,4.0,3.6666666666666665
10,2,101,"[Demonstration of tumor inhibiting properties of a strongly immunostimulating low-molecular weight substance. Comparative studies with ifosfamide on the immuno-labile DS carcinosarcoma. Stimulation of the autoimmune activity for approx. 20 days by BA 1, a N-(2-cyanoethylene)-urea. Novel prophylactic possibilities].",4.0,4.5,4.0,4.166666666666667
11,2,101,The effect of o-salicylate upon pentose phosphate pathway activity in normal and G6PD-deficient red cells.,4.0,4.0,4.0,4.0
12,2,101,Purification and properties of Escherichia coli dihydrofolate reductase.,4.0,5.0,4.5,4.5
